Sample,SBET(m2/g),SL(m2/g),VT(cm3/g),P(kPa),T(K),Mental center,Uptake
"Al(OH)(bdc)(Arstad et al., 2008)",1300,1755.88,0.42,100,298,Al,2.38841
"Al(OH)(bdc-NH2)(Arstad et al., 2008)",960,1147.8,0.25,100,298,Al,2.732163
"Ni2(bdc)2(dabco)(Arstad et al., 2008)",1925,2206.508,0.74,100,298,Ni,2.276802
"Ni2(bdc)2(dabco)(Arstad et al., 2008)",1530,1783,0.5,100,298,Ni,3.187523
"Zn(bdc)(ted)0.5 (Raja et al., 2015)",1937,2057,0.75,100,298,Zn,1.683048
"Zn(bdc-OH)(ted)0.5(Raja et al., 2015)",1023,1111,0.56,100,298,Zn,2.982165
"Zn(bdc-NH2)(ted)0.5(Raja et al., 2015)",1081,1183,0.46,100,298,Zn,2.165194
"Al(OH)(bdc-Cl)(Biswas et al., 2011)",1183.84,1522.57,0.633,100,298,Al,1.754477
"Al(OH)(bdc-Br)(Biswas et al., 2011)",1227.44,1583.17,0.625,100,298,Al,1.366081
"Al(OH)(bdc-CH3)(Biswas et al., 2011)",1183.84,1522.57,0.633,100,298,Al,1.549118
"Al(OH)(bdc-NO2)(Biswas et al., 2011)",968.77,1147.8,0.4443,100,298,Al,2.459839
"Al(OH)(bdc-(OH)2)(Biswas et al., 2011)",1684.47,1836.6,0.69602,100,298,Al,1.071436
"Al(OH)(bdc-NH2)(Biswas et al., 2011)",1183.84,1522.57,0.633,100,298,Al,1.776799
"Zn(bdc)(bpy)0.5(Liu et al., 2011)",1070,1122,0.44,100,298,Zn,0.316967
,1070,1122,0.44,100,273,Zn,1.129473
"Zn(bdc)(dmbpy)0.5(Liu et al., 2011)",306,426,0.16,100,298,Zn,0.593754
,306,426,0.16,100,273,Zn,2.600733
"Zn(2,6-ndc)(bpy)0.5(Liu et al., 2011)",180,207,0.09,100,298,Zn,0.727684
,180,207,0.09,100,273,Zn,1.294474
"Zn(2,6-ndc)(dmbpy)0.5(Liu et al., 2011)",106,110,0.07,100,298,Zn,0.433039
,106,110,0.07,100,273,Zn,0.909471
"Zn5(dmtrz)3(ip)3(OH)(Ling et al., 2012) ",796,1151,0.4,100,298,Zn,1.526797
"Zn5(dmtrz)3(ip-OH)3(OH)(Ling et al., 2012) ",339,496,0.16,100,298,Zn,3.098237
"Zn(L1)(ip)(Luo et al., 2012) ",463.1,579.22,0.2467,100,273,Zn,1.388403
"Zn(L1)(ip-OH)(Luo et al., 2012)",463.1,579.22,0.2467,100,273,Zn,1.022329
"Zn(L1)(ip-NH2)(Luo et al., 2012)",311.6,425.79,0.18,100,273,Zn,1.70537
"Zn(L1)(ip-NO2)(Luo et al., 2012)",463.1,579.22,0.2467,100,273,Zn,0.892864
"Zn(L1)(ip-COOH)(Luo et al., 2012)",463.1,579.22,0.2467,100,273,Zn,0.660719
"Zn(bdp)(Colombo et al., 2012) ",2288,2857,1.2446,100,273,Zn,3.209845
"Zn(bdp-NO2)(Colombo et al., 2012) ",1875,2358,0.875,100,273,Zn,3.098237
"Zn(bdp-NH2)(Colombo et al., 2012) ",1345,1788,0.5952,100,273,Zn,2.799128
"Zn(bdp-OH)(Colombo et al., 2012)",1170,1484,0.6038,100,273,Zn,4.406282
"Ni(bdp)(Colombo et al., 2012)",1066,1350,0.4919,100,273,Ni,4.205388
"Ni(bdp-NO2)(Colombo et al., 2012)",1131,1423,0.5149,100,273,Ni,6.008972
"Ni(bdp-NH2)(Colombo et al., 2012)",1305,1645,0.6547,100,273,Ni,4.808071
"Ni(bdp-OH)(Colombo et al., 2012)",1103,1394,0.4869,100,273,Ni,5.611648
"Ni(bdp-SO3H)(Colombo et al., 2012)",819,1044,0.3827,100,273,Ni,4.308067
"Zr6O4(OH)4(bdc)6(Huang et al., 2012)",1250,1381,0.5195,100,293,Zr,3.129487
"Zr6O4(OH)4(bdc-(CH3)2)6(Huang et al., 2012)",868,968,0.3771,100,293,Zr,3.933064
"Zr6O4(OH)4(bdc-(NH2)6(Huang et al., 2012)",1084,1196,0.4561,100,293,Zr,3.446454
"Zr6O4(OH)4(bdc-NO2)6(Huang et al., 2012)",869,980,0.3771,100,293,Zr,3.312524
"Zr6O4(OH)4(bdc-Br)6(Huang et al., 2012)",801,886,0.3838,100,293,Zr,3.040201
